pl_name,pl_letter,hostname,gaia_id,ra,dec,disc_year,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_msinie,pl_msinieerr1,pl_msinieerr2,st_teff,st_met,st_lum,st_logg,st_age,st_mass,st_rad,sy_vmag,sy_gaiamag,sy_plx,ttv_flag,tran_flag,rv_flag
TOI-1260 b,b,TOI-1260,Gaia DR2 1053809778428567680,157.1440712,65.8541986,2021,Transit,3.127463,5e-06,-5e-06,0.0367,0.0011,-0.0011,2.41,0.05,-0.05,8.56,1.54,-1.54,8.56,1.54,-1.54,Mass,,,,4227.0,-0.1,-0.889,4.57,6.7,0.68,0.67,11.922,11.5743,13.5585,0,1,1
TOI-1260 c,c,TOI-1260,Gaia DR2 1053809778428567680,157.1440712,65.8541986,2021,Transit,7.493134,2e-05,-2e-05,0.0657,0.002,-0.002,2.76,0.07,-0.07,13.2,4.23,-4.23,13.2,4.23,-4.23,Mass,,,,4227.0,-0.1,-0.889,4.57,6.7,0.68,0.67,11.922,11.5743,13.5585,0,1,1
TOI-1260 d,d,TOI-1260,Gaia DR2 1053809778428567680,157.1440712,65.8541986,2022,Transit,16.608164,8.3e-05,-8.3e-05,0.1116,0.0033,-0.0033,3.12,0.08,-0.08,11.84,7.79,-7.79,11.84,7.79,-7.79,Mass,,,,4227.0,-0.1,-0.889,4.57,6.7,0.68,0.67,11.922,11.5743,13.5585,0,1,1
KMT-2019-BLG-0414L b,b,KMT-2019-BLG-0414L,,268.8529167,-21.8955389,2022,Microlensing,,,,1.16,0.47,-0.51,,,,1452.47582,1188.67824,-654.72652,1452.47582,1188.67824,-654.72652,Mass,,,,,,,,,0.74,,,,,0,0,0
HAT-P-32 b,b,HAT-P-32,Gaia DR2 356348286886230272,31.0427614,46.6878512,2011,Transit,2.1500082,1.3e-07,-1.3e-07,0.03397,0.00051,-0.0005,22.194,0.504,-0.504,216.1244,34.9613,-31.783,216.1244,34.9613,-31.783,Mass,216.1244,34.9613,-31.783,6001.0,-0.16,0.338,4.22,,1.13,1.37,11.439,11.1335,3.43046,0,1,1
HAT-P-16 b,b,HAT-P-16,Gaia DR2 381592313648387200,9.5730343,42.4630961,2010,Transit,2.77596,3e-06,-3e-06,0.0413,0.0004,-0.0004,14.448,0.74,-0.74,1332.605,29.875,-29.875,1332.605,29.875,-29.875,Mass,,,,6158.0,0.17,0.294,4.34,2.0,1.22,1.24,10.911,10.7568,4.38591,0,1,1
GPX-1 b,b,GPX-1,Gaia DR2 457317534880081152,38.3691648,56.025708,2021,Transit,1.744579,8e-06,-8e-06,0.0338,0.0003,-0.0003,16.477,1.121,-1.121,6261.21962,508.52545,-508.52545,6261.21962,508.52545,-508.52545,Mass,,,,7000.0,0.35,0.727,4.27,0.27,1.68,1.56,12.316,12.2228,1.49895,0,1,1
K2-18 b,b,K2-18,Gaia DR2 3910747531814692736,172.560141,7.5878315,2015,Transit,32.939623,9.5e-05,-0.0001,0.1429,0.006,-0.0065,2.37,0.22,-0.22,8.92,1.7,-1.6,8.92,1.7,-1.6,Mass,,,,3457.0,0.12,,,,0.36,0.41,13.477,12.4154,26.2686,0,1,1
WASP-183 b,b,WASP-183,Gaia DR2 3803004978659671040,163.7888521,-0.7370663,2019,Transit,4.1117771,5.1e-06,-5.1e-06,0.04632,0.00075,-0.00075,16.477,10.536,-3.699,159.55066,14.93801,-14.93801,159.55066,14.93801,-14.93801,Mass,,,,5313.0,-0.31,,4.45,14.9,0.78,0.87,13.081,12.8148,3.04488,0,1,1
WASP-175 b,b,WASP-175,Gaia DR2 5401743332678544640,166.3187996,-34.1227453,2019,Transit,3.0652907,1.1e-06,-1.6e-06,0.04403,0.00055,-0.00055,13.54,0.908,-0.908,314.6517,41.3179,-41.3179,314.6517,41.3179,-41.3179,Mass,,,,6229.0,0.15,,4.36,1.745,1.21,1.2,12.959,12.7065,1.82602,0,1,1
WASP-180 A b,b,WASP-180 A,Gaia DR2 3070964117005132416,123.3922465,-1.9827874,2019,Transit,3.409264,1e-06,-1e-06,0.048,0.001,-0.001,13.899,0.448,-0.448,286.047,31.783,-31.783,286.047,31.783,-31.783,Mass,,,,6600.0,0.1,,4.42,1.2,1.3,1.19,10.655,10.9134,3.90929,0,1,1
WASP-184 b,b,WASP-184,Gaia DR2 6173435259395017344,209.51701,-30.348153,2019,Transit,5.1817,1e-05,-1e-05,0.0627,0.0012,-0.0012,14.908,1.009,-1.009,181.1631,31.783,-31.783,181.1631,31.783,-31.783,Mass,,,,6000.0,0.12,,4.09,4.7,1.23,1.65,12.771,12.5673,1.48,0,1,1
WASP-192 b,b,WASP-192,Gaia DR2 6198312362812872320,223.6587187,-38.7445469,2019,Transit,2.8786765,2.8e-06,-2.8e-06,0.0408,0.0008,-0.0008,13.787,0.897,-0.897,731.009,50.8528,-50.8528,731.009,50.8528,-50.8528,Mass,,,,5910.0,0.14,,4.24,5.7,1.09,1.32,12.678,12.5347,1.93929,0,1,1
NGTS-9 b,b,NGTS-9,Gaia DR2 5678340222972504832,141.9206435,-19.3476477,2019,Transit,4.43527,2e-05,-2e-05,0.058,0.003,-0.002,11.994,0.673,-0.673,921.707,54.0311,-54.0311,921.707,54.0311,-54.0311,Mass,,,,6330.0,0.31,,4.37,0.96,1.34,1.38,12.868,12.6547,1.61358,0,1,1
XO-2 N b,b,XO-2 N,Gaia DR2 934346809278715776,117.0267691,50.2251472,2007,Transit,2.61586178,,,0.0368,,,11.131,0.135,-0.135,179.89178,7.94575,-7.94575,179.89178,7.94575,-7.94575,Mass,,,,,,,4.43,,0.97,0.99,11.246,10.9718,6.45395,0,1,1
WASP-74 b,b,WASP-74,Gaia DR2 4224062406762625152,304.538843,-1.0760033,2015,Transit,2.13775,1e-06,-1e-06,,,,15.244,1.121,-1.121,228.8376,38.1396,-38.1396,228.8376,38.1396,-38.1396,Mass,,,,5990.0,0.39,,4.39,,0.98,1.42,9.75,9.5723,6.67342,0,1,1
WASP-119 b,b,WASP-119,Gaia DR2 4672607178880426624,55.9336392,-65.19378,2016,Transit,2.49979,1e-05,-1e-05,0.0363,0.0007,-0.0007,15.693,2.242,-2.242,390.9309,25.4264,-25.4264,390.9309,25.4264,-25.4264,Mass,,,,5650.0,0.14,,4.26,8.0,1.02,1.2,12.314,12.1014,3.27755,0,1,1
WASP-123 b,b,WASP-123,Gaia DR2 6756148659453907200,289.4792124,-32.8601244,2016,Transit,2.9776412,2.3e-06,-2.3e-06,0.04263,0.00074,-0.00074,14.773,0.729,-0.729,285.72917,11.44188,-11.44188,285.72917,11.44188,-11.44188,Mass,,,,5740.0,0.18,,4.29,6.9,1.17,1.28,11.03,10.8999,5.02385,0,1,1
HD 136352 c,c,HD 136352,Gaia DR2 5902750168276592256,230.4401147,-48.3188174,2019,Radial Velocity,27.59221,0.00011,-0.00011,0.1721,0.005,-0.005,2.916,0.075,-0.073,11.24,0.65,-0.63,11.24,0.65,-0.63,Mass,,,,5664.0,-0.24,0.016,4.39,12.3,0.87,1.06,5.65,5.48495,68.0818,0,1,1
HAT-P-36 b,b,HAT-P-36,Gaia DR2 1541532207133249920,188.2662048,44.9153672,2011,Transit,1.32734683,4.8e-07,-4.8e-07,0.0241,0.00047,-0.00047,14.314,0.224,-0.224,587.41341,27.65121,-27.65121,587.41341,27.65121,-27.65121,Mass,,,,5620.0,,,,,1.03,1.04,12.146,12.093,3.36776,0,1,1
WASP-15 b,b,WASP-15,Gaia DR2 6171009049549197824,208.9280111,-32.1597118,2009,Transit,3.7521,1e-05,-1e-05,,,,15.805,4.035,-4.035,171.6282,92.1707,-92.1707,171.6282,92.1707,-92.1707,Mass,,,,6300.0,-0.17,,4.35,,1.18,1.48,10.972,10.797,3.51679,0,1,1
WASP-16 b,b,WASP-16,Gaia DR2 6283723285046532864,214.6830109,-20.2754374,2009,Transit,3.1186,1.4e-05,-1.4e-05,,,,13.675,1.121,-1.121,394.1092,79.4575,-79.4575,394.1092,79.4575,-79.4575,Mass,,,,5700.0,0.01,,4.49,,1.78,1.14,11.288,11.1247,5.12299,0,1,1
HIP 97166 b,b,HIP 97166,Gaia DR2 2288221003213039488,296.2446203,74.0628577,2021,Transit,10.28891,4e-05,-4e-05,0.089,0.001,-0.001,2.74,0.13,-0.13,20.0,1.5,-1.5,20.0,1.5,-1.5,Mass,,,,5198.0,0.27,,4.41,3.33,0.9,0.84,9.92,9.68443,15.1341,0,1,1
TOI-2669 b,b,TOI-2669,Gaia DR2 5735664051960550144,134.7226445,-13.3125792,2022,Transit,6.2034,0.0001,-0.0001,,,,19.728,1.793,-1.793,193.87533,60.3874,-60.3874,193.87533,60.3874,-60.3874,Mass,,,,4800.0,0.1,,3.29,5.9,1.19,4.1,10.916,10.6019,2.51349,0,1,1
TOI-1696 b,b,TOI-1696,Gaia DR2 270260649602149760,65.280648,48.8198312,2022,Transit,2.500311,4e-06,-4e-06,0.0229,0.0002,-0.0002,3.09,0.11,-0.11,48.8,,,48.8,,,Mass,,,,3185.0,0.336,-2.148,4.96,,0.26,0.28,16.82,15.3314,15.3761,0,1,0
KELT-3 b,b,KELT-3,Gaia DR2 806492019492266752,148.6431193,40.3879446,2013,Transit,2.70339,1e-05,-1e-05,,,,17.486,1.233,-1.233,616.5902,104.8839,-104.8839,616.5902,104.8839,-104.8839,Mass,,,,6304.0,0.05,,4.2,,1.96,1.7,9.816,9.76324,4.73153,0,1,1
WASP-65 b,b,WASP-65,Gaia DR2 596931979481073152,133.3242982,8.5230171,2013,Transit,2.3114243,1.5e-06,-1.5e-06,0.0334,0.0016,-0.0017,12.464,0.661,-0.661,492.62,50.85,-50.85,492.62,50.85,-50.85,Mass,,,,5600.0,-0.07,,4.4,8.0,0.93,1.01,11.869,11.7509,3.62506,0,1,1
WASP-101 b,b,WASP-101,Gaia DR2 2924661867160818304,98.3511016,-23.486086,2014,Transit,3.58572,4e-06,-4e-06,,,,16.029,1.009,-1.009,162.0933,25.4264,-25.4264,162.0933,25.4264,-25.4264,Mass,,,,6380.0,0.2,,4.31,,1.41,1.31,10.336,10.138,4.94086,0,1,1
WASP-104 b,b,WASP-104,Gaia DR2 3868603216762016256,160.6023689,7.4350768,2014,Transit,1.7554137,1.8e-06,-3.6e-06,0.02918,0.00045,-0.00045,12.745,0.415,-0.415,404.263,14.937,-14.937,404.263,14.937,-14.937,Mass,,,,5475.0,0.32,,4.5,3.0,1.08,0.96,11.779,11.5931,5.34982,0,1,1
HATS-14 b,b,HATS-14,Gaia DR2 6805149288493408640,313.2154754,-25.6873756,2015,Transit,2.7667641,2.7e-06,-2.7e-06,0.03815,0.00032,-0.00032,11.646,0.359,-0.247,340.39593,22.2481,-22.2481,340.39593,22.2481,-22.2481,Mass,,,,5346.0,0.33,,4.48,4.9,0.97,0.93,14.052,13.7712,1.92119,0,1,1
KELT-6 c,c,KELT-6,Gaia DR2 1464700950221781504,195.9818362,30.640145,2015,Radial Velocity,1276.0,81.0,-67.0,2.39,0.11,-0.11,,,,,,,1179.1493,66.7443,-66.7443,Msini,1179.1493,66.7443,-66.7443,6272.0,-0.27,,4.12,4.9,1.13,1.53,10.371,10.1934,4.1255,0,0,1
HATS-16 b,b,HATS-16,Gaia DR2 2327000400367097984,358.5588439,-30.0130385,2016,Transit,2.686502,1.1e-05,-1.1e-05,0.03744,0.00045,-0.00045,14.572,1.681,-1.681,1039.3041,60.3877,-60.3877,1039.3041,60.3877,-60.3877,Mass,,,,5738.0,-0.1,0.173,4.24,9.5,0.97,1.24,13.957,13.6864,1.2921,0,1,1
HATS-47 b,b,HATS-47,Gaia DR2 6658373007402886400,287.4844021,-49.6649424,2020,Transit,3.9228038,2.2e-06,-2.2e-06,0.04269,0.00033,-0.00025,12.52,0.157,-0.157,117.27927,9.85273,-6.67443,117.27927,9.85273,-6.67443,Mass,,,,4512.0,-0.113,-0.796,4.63,8.1,0.67,0.66,14.602,14.3998,3.29787,0,1,1
HATS-71 b,b,HATS-71,Gaia DR2 4710594412266148352,15.5518893,-61.7561333,2020,Transit,3.7955202,1e-06,-1e-06,0.03745,0.00015,-0.00015,11.478,0.202,-0.202,117.5971,76.2792,-76.2792,117.5971,76.2792,-76.2792,Mass,,,,3405.0,0.17,-1.56,4.77,3.2,0.49,0.48,16.437,15.3512,7.10286,0,1,1
HATS-25 b,b,HATS-25,Gaia DR2 6287125101007614080,207.9076746,-23.7812403,2016,Transit,4.2986432,4.5e-06,-4.5e-06,0.05163,0.0006,-0.0006,14.123,1.121,-1.121,194.82979,13.34886,-13.34886,194.82979,13.34886,-13.34886,Mass,,,,5715.0,0.02,0.068,4.35,7.5,0.99,1.11,13.172,12.9353,2.09452,0,1,1
WASP-106 b,b,WASP-106,Gaia DR2 3788394461991295488,166.4296276,-5.0794854,2014,Transit,9.28971,1e-05,-1e-05,,,,11.433,3.363,-3.363,514.8846,298.7602,-298.7602,514.8846,298.7602,-298.7602,Mass,,,,6055.0,-0.09,,4.23,,0.93,1.31,11.21,11.3659,2.81147,0,1,1
WASP-124 b,b,WASP-124,Gaia DR2 6614751532833886464,332.7143373,-30.7497189,2016,Transit,3.37265,1e-06,-1e-06,0.0449,0.0007,-0.0007,13.899,0.336,-0.336,190.698,22.2481,-22.2481,190.698,22.2481,-22.2481,Mass,,,,6050.0,-0.02,,4.44,2.1,1.07,1.02,12.724,12.5754,2.20081,0,1,1
HATS-27 b,b,HATS-27,Gaia DR2 6134228079203074176,193.5524603,-46.5877159,2016,Transit,4.637038,1.4e-05,-1.4e-05,0.0611,0.00068,-0.00068,16.814,2.242,-1.233,168.4499,41.3179,-41.3179,168.4499,41.3179,-41.3179,Mass,,,,6438.0,0.09,0.669,4.11,2.3,1.42,1.74,12.782,12.6792,1.19821,0,1,1
HATS-43 b,b,HATS-43,Gaia DR2 2905983466705521792,80.5382418,-30.9708179,2018,Transit,4.3888497,5.9e-06,-5.9e-06,0.04944,0.00046,-0.00046,13.227,0.56,-0.56,82.95363,17.16282,-17.16282,82.95363,17.16282,-17.16282,Mass,,,,5099.0,0.05,-0.398,4.54,8.6,0.84,0.81,13.562,13.4014,2.73148,0,1,1
WASP-165 b,b,WASP-165,Gaia DR2 2415410962124813056,357.5806472,-17.0775947,2018,Transit,3.465509,2.3e-05,-2.3e-05,0.04823,0.00091,-0.00092,14.123,2.13,-1.906,209.13214,30.82951,-29.24036,209.13214,30.82951,-29.24036,Mass,,,,5599.0,0.33,,,4.77,1.25,1.75,12.816,12.5435,1.63358,0,1,1
HAT-P-22 b,b,HAT-P-22,Gaia DR2 846946629987527168,155.6814593,50.1287115,2010,Transit,3.21222,9e-06,-9e-06,,,,12.89,2.13,-2.13,785.0401,101.7056,-101.7056,785.0401,101.7056,-101.7056,Mass,,,,5302.0,0.24,,4.36,,1.13,1.11,9.763,9.51936,12.2014,0,1,1
7 CMa b,b,7 CMa,Gaia DR2 2939555954747554176,99.171276,-19.2561808,2011,Radial Velocity,735.1,14.8,-1.0,1.758,0.024,-0.001,,,,,,,587.9855,19.0698,-19.0698,Msin(i)/sin(i),587.9855,19.0698,-12.7132,4826.0,0.21,1.063,3.19,4.3,1.34,4.87,3.95,3.67853,50.4571,0,0,1
HD 216435 b,b,HD 216435,Gaia DR2 6515731817739456256,343.4094703,-48.5986332,2002,Radial Velocity,1311.0,49.0,-49.0,2.56,0.17,-0.17,,,,,,,400.4,41.3,-41.3,Msini,400.4,41.3,-41.3,5999.0,0.244,,4.15,3.0,1.3,,6.03,5.88357,30.2896,0,0,1
HATS-45 b,b,HATS-45,Gaia DR2 2926039005480063616,101.9942455,-21.9107112,2018,Transit,4.1876244,5.6e-06,-5.6e-06,0.05511,0.00069,-0.00069,14.415,1.042,-1.042,222.481,47.6745,-47.6745,222.481,47.6745,-47.6745,Mass,,,,6450.0,0.02,0.425,4.3,1.52,1.27,1.31,13.325,13.2385,1.2665,0,1,1
WASP-171 b,b,WASP-171,Gaia DR2 5376137837173646208,171.8450533,-44.0887035,2019,Transit,3.8186244,3.8e-06,-3.8e-06,0.0504,0.00083,-0.00083,10.985,0.785,-0.448,344.52772,29.87602,-29.87602,344.52772,29.87602,-29.87602,Mass,,,,5965.0,0.04,,4.08,5.908,1.17,1.64,12.612,12.4407,1.29143,0,1,1
TOI-4137 b,b,TOI-4137,Gaia DR2 497750842338402560,77.612879,70.391079,2022,Transit,3.8016122,6.5e-06,-6.5e-06,0.05222,0.00089,-0.00096,13.574,0.448,-0.437,457.67291,54.03083,-47.67426,457.67291,54.03083,-47.67426,Mass,,,,6202.0,0.182,0.439,4.24,2.1,1.31,1.44,11.31,11.2468,2.95656,0,1,1
LP 890-9 b,b,LP 890-9,Gaia DR2 4886243456388510720,64.1309096,-28.3157909,2022,Transit,2.7299025,3.4e-06,-4e-06,0.01875,0.0001,-0.0001,1.32,0.053,-0.027,13.2,,,13.2,,,Mass,,,,2850.0,-0.028,-2.841,5.13,7.2,0.12,0.16,18.0,15.8213,30.8071,0,1,0
TOI-4582 b,b,TOI-4582,Gaia DR2 1636984973365053056,256.8601374,68.8656263,2023,Transit,31.034,0.001,-0.001,,,,10.536,1.009,-1.345,168.44906,15.89142,-15.89142,168.44906,15.89142,-15.89142,Mass,,,,5190.0,0.17,,3.77,,1.34,2.5,11.27,11.0809,2.57649,0,1,1
HAT-P-70 b,b,HAT-P-70,Gaia DR2 3291455819447952768,74.5523332,9.9979794,2019,Transit,2.74432452,7.9e-07,-6.8e-07,0.04739,0.00031,-0.00106,20.961,1.681,-1.121,2154.8874,,,2154.8874,,,Mass,,,,8450.0,-0.059,1.223,4.18,0.6,1.89,1.86,9.47,9.45174,2.99621,0,1,0
TOI-3884 b,b,TOI-3884,Gaia DR2 3919169687804622336,181.5718341,12.5070258,2022,Transit,4.5445697,9.4e-06,-9.4e-06,0.0354,0.0014,-0.0014,6.0,0.18,-0.18,16.5,3.5,-1.8,16.5,3.5,-1.8,Mass,,,,3269.0,0.23,-2.032,4.92,,0.28,0.3,15.744,14.2747,23.1494,0,1,1
TOI-1288 c,c,TOI-1288,Gaia DR2 2245652826430109184,313.1670294,65.6087833,2022,Radial Velocity,443.0,11.0,-13.0,,,,,,,,,,84.0,7.0,-7.0,Msini,84.0,7.0,-7.0,5225.0,0.07,-0.167,4.24,12.1,0.89,1.01,10.445,10.4468,8.67701,0,0,1
TOI-1468 c,c,TOI-1468,Gaia DR2 2785466581298775680,16.6538724,19.2249195,2022,Transit,15.532482,3.4e-05,-3.3e-05,,,,2.064,0.044,-0.044,6.64,0.67,-0.68,6.64,0.67,-0.68,Mass,,,,3496.0,-0.04,-1.797,5.0,,0.34,0.34,12.5,12.1172,40.3917,0,1,1
TOI-2567 b,b,TOI-2567,Gaia DR2 2254929887069708160,288.4656683,66.3479375,2022,Transit,5.983944,1.3e-05,-1.3e-05,0.0672,0.0024,-0.0012,10.929,0.347,-0.325,63.88351,10.80617,-9.85268,63.88351,10.80617,-9.85268,Mass,,,,5611.0,0.241,0.405,4.04,7.6,1.13,1.69,12.3,12.2213,1.95233,0,1,1
TOI-1899 b,b,TOI-1899,Gaia DR2 2073530190996615424,299.4268472,40.1433462,2020,Transit,29.02,0.36,-0.23,0.1587,0.0067,-0.0075,12.89,0.448,-0.56,209.7678,22.2481,-22.2481,209.7678,22.2481,-22.2481,Mass,,,,3841.0,0.31,,4.67,7.4,0.63,0.61,14.88,13.5553,7.75689,0,1,1
Kepler-1950 b,b,Kepler-1950,Gaia DR2 2105573945541164544,287.0874563,42.6686537,2021,Transit,10.77690029,,,,,,1.527,,,,,,,,,,,,,5455.0,-0.34,,4.46,,0.76,0.85,14.845,14.5569,1.40574,0,1,0
Kepler-585 b,b,Kepler-585,Gaia DR2 2105694410784851072,286.5284924,43.8733751,2016,Transit,2.75235975,1.42e-06,-1.42e-06,,,,2.83,0.55,-0.27,,,,,,,,,,,5593.0,0.03,,4.49,3.63,0.96,0.93,14.188,14.0171,1.68005,0,1,0
Kepler-496 b,b,Kepler-496,Gaia DR2 2101650647537529088,291.6408978,41.2411044,2016,Transit,8.30864937,1.09e-05,-1.09e-05,,,,2.32,0.19,-0.14,,,,,,,,,,,5293.0,-0.03,,4.55,4.57,0.86,0.82,15.106,14.796,1.62366,0,1,0
TOI-1468 b,b,TOI-1468,Gaia DR2 2785466581298775680,16.6538724,19.2249195,2022,Transit,1.8805136,2.4e-06,-2.6e-06,,,,1.28,0.038,-0.039,3.21,0.24,-0.24,3.21,0.24,-0.24,Mass,,,,3496.0,-0.04,-1.797,5.0,,0.34,0.34,12.5,12.1172,40.3917,0,1,1
TOI-2236 b,b,TOI-2236,Gaia DR2 4613145315172329984,20.1660113,-86.979965,2022,Transit,3.5315902,2.6e-06,-2.6e-06,0.05009,0.0008,-0.00082,14.37,0.359,-0.347,502.16888,127.13136,-123.95308,502.16888,127.13136,-123.95308,Mass,,,,6248.0,0.119,0.533,4.17,2.52,1.34,1.57,11.6,11.2905,2.78342,0,1,1
TOI-3331 A b,b,TOI-3331 A,Gaia DR2 4042548116644168832,271.3241672,-34.107171,2022,Transit,2.0180231,4.3e-06,-4.4e-06,0.03144,0.00048,-0.00055,12.98,0.482,-0.482,721.47048,50.85255,-50.85255,721.47048,50.85255,-50.85255,Mass,,,,5609.0,0.148,-0.093,4.49,2.1,1.02,0.95,11.635,11.8314,4.57654,0,1,1
K2-43 c,c,K2-43,Gaia DR2 3789847707126025600,169.117028,-3.9754405,2019,Transit,2.198884,2.2e-05,-1.1e-05,,,,2.42,0.26,-0.11,,,,,,,,,,,3840.6,,,,,0.57,0.54,15.748,14.8215,5.4503,0,1,0
HAT-P-4 b,b,HAT-P-4,Gaia DR2 1291120362349158016,229.99122,36.229545,2007,Transit,3.056536,,,0.04438,0.00081,-0.0015,14.28,0.549,-0.673,213.255,10.488,-13.984,213.255,10.488,-13.984,Mass,,,,5860.0,,0.431,,,,,11.118,11.0634,3.09194,0,1,1
HAT-P-3 b,b,HAT-P-3,Gaia DR2 1510191594552968832,206.0940142,48.028565,2007,Transit,2.8997,5.4e-05,-5.4e-05,,,,10.536,0.785,-0.785,206.5895,34.9613,-34.9613,206.5895,34.9613,-34.9613,Mass,,,,5185.0,0.27,,4.56,,1.06,0.87,11.856,11.2795,7.40311,0,1,1
WASP-5 b,b,WASP-5,Gaia DR2 6533307957785865856,359.3490277,-41.2772202,2008,Transit,1.6284279,2.2e-06,-4.9e-06,0.0267,0.0012,-0.0008,12.184,0.762,-0.796,502.15,41.32,-31.78,502.15,41.32,-31.78,Mass,,,,5700.0,0.09,,4.39,5.4,0.96,1.03,12.147,11.996,3.20634,0,1,1
WASP-6 b,b,WASP-6,Gaia DR2 2385171398768647552,348.1571282,-22.6741248,2009,Transit,3.36101,2.8e-06,-2.8e-06,,,,11.545,1.121,-1.121,117.5971,25.4264,-25.4264,117.5971,25.4264,-25.4264,Mass,,,,5450.0,-0.2,,4.6,,0.55,0.73,11.907,11.9761,5.04464,0,1,1
HD 158259 e,e,HD 158259,Gaia DR2 1416050859226670848,261.3495847,52.7904721,2020,Radial Velocity,7.951,0.0022,-0.0021,,,,,,,,,,6.08,0.94,-1.03,Msini,6.08,0.94,-1.03,,,,,,1.08,1.21,6.47915,6.30694,36.9399,0,0,1
TOI-1272 c,c,TOI-1272,Gaia DR2 1556242405699527424,199.1962036,49.8610591,2022,Radial Velocity,8.689,0.008,-0.008,0.0783,0.0014,-0.0014,,,,,,,26.7,3.1,-3.1,Msini,26.7,3.1,-3.1,4985.0,0.17,,4.55,3.65,0.85,0.79,11.758,11.6,7.24003,0,0,1
TOI-3540 A b,b,TOI-3540 A,Gaia DR2 1896138833241139584,328.9113712,28.1794996,2022,Transit,3.119999,7.9e-06,-7.9e-06,0.04289,0.00092,-0.00093,23.539,,,375.03752,44.49598,-44.49598,375.03752,44.49598,-44.49598,Mass,,,,5810.0,0.176,0.19,4.29,6.0,1.08,1.23,11.514,11.4036,,0,1,1
TOI-1288 b,b,TOI-1288,Gaia DR2 2245652826430109184,313.1670294,65.6087833,2022,Transit,2.699835,4e-06,-3e-06,,,,5.24,0.09,-0.09,42.0,3.0,-3.0,42.0,3.0,-3.0,Mass,,,,5225.0,0.07,-0.167,4.24,12.1,0.89,1.01,10.445,10.4468,8.67701,0,1,1
NGTS-24 b,b,NGTS-24,Gaia DR2 5397086969654628864,168.5638892,-37.9101328,2022,Transit,3.4678796,7e-06,-7e-06,0.0479,0.0028,-0.003,13.608,0.65,-0.695,165.27077,38.13941,-34.96112,165.27077,38.13941,-34.96112,Mass,,,,5820.0,0.27,0.446,4.09,4.77,1.26,1.64,13.214,13.0525,1.43538,0,1,0
CoRoT-6 b,b,CoRoT-6,Gaia DR2 4285684673395749120,281.0725563,6.6632062,2009,Transit,8.886593,4e-06,-4e-06,0.0855,0.0015,-0.0015,13.068,0.392,-0.392,940.74,108.06,-108.06,940.74,108.06,-108.06,Mass,,,,6090.0,-0.2,,4.43,,1.05,1.02,13.961,13.7459,1.52152,0,1,1
WASP-10 b,b,WASP-10,Gaia DR2 1909762228985058944,348.9930457,31.4627508,2008,Transit,3.0927616,1.12e-05,-1.12e-05,0.03781,0.00067,-0.00047,12.106,0.224,-0.224,1001.12,41.32,-34.96,1001.12,41.32,-34.96,Mass,,,,4675.0,,,,,0.75,0.7,12.413,12.1739,7.06364,0,1,1
7 CMa c,c,7 CMa,Gaia DR2 2939555954747554176,99.171276,-19.2561808,2019,Radial Velocity,996.0,1.5,-52.4,2.153,0.003,-0.08,,,,,,,276.5121,19.0698,-19.0698,Msin(i)/sin(i),276.5121,19.0698,-19.0698,4826.0,0.21,1.063,3.19,4.3,1.34,4.87,3.95,3.67853,50.4571,0,0,1
55 Cnc e,e,55 Cnc,Gaia DR2 704967037090946688,133.1468373,28.3298154,2004,Radial Velocity,0.7365474,1.3e-06,-1.4e-06,0.01544,5e-05,-5e-05,1.875,0.029,-0.029,7.99,0.32,-0.33,7.99,0.32,-0.33,Mass,,,,5172.0,0.35,,4.43,,0.91,0.94,5.95084,5.72973,79.4274,0,1,1
TOI-5174 b,b,TOI-5174,Gaia DR2 3793743895297313408,174.1094967,-2.0233506,2022,Transit,12.214286,,,,,,5.351,,,,,,,,,,,,,5643.77,0.415,0.039,4.36,,1.0,1.09,11.583,11.1031,5.04184,0,1,0
Kepler-858 b,b,Kepler-858,Gaia DR2 2133344791759137152,288.8488552,51.2090375,2016,Transit,76.13602028,5.533e-05,-5.533e-05,,,,4.87,0.23,-0.2,,,,,,,,,,,5653.0,-0.04,,4.5,3.39,0.96,0.91,12.568,12.411,3.32096,0,1,0
WASP-79 b,b,WASP-79,Gaia DR2 4884779765893739904,66.3709016,-30.6004362,2012,Transit,3.66238,5e-06,-5e-06,,,,18.719,1.681,-1.681,270.1555,57.2094,-57.2094,270.1555,57.2094,-57.2094,Mass,,,,6600.0,0.03,,4.2,,1.43,1.6,10.044,9.97202,4.02497,0,1,1
WASP-47 d,d,WASP-47,Gaia DR2 2613413008919918976,331.203092,-12.019067,2015,Transit,9.03055,8e-05,-8e-05,,,,3.567,0.045,-0.045,14.2,1.3,-1.3,14.2,1.3,-1.3,Mass,,,,5552.0,0.38,,4.34,,1.04,1.14,11.936,11.7889,3.74964,1,1,1
WASP-55 b,b,WASP-55,Gaia DR2 3603529272750802560,203.7581951,-17.5034961,2012,Transit,4.46563,4e-06,-4e-06,,,,14.908,1.457,-1.457,193.8763,41.3179,-41.3179,193.8763,41.3179,-41.3179,Mass,,,,5900.0,-0.2,,4.3,,1.11,1.09,11.753,11.7747,3.33369,0,1,1
