pl_rade,Teq,st_teff,pl_orbsmax,st_met
12.0,800.0,3913.0,0.03845,0.0
14.572,1651.0,6311.0,0.0561,-0.1
15.323,2177.0,4550.0,0.0731,0.11
12.285,1416.0,5600.0,0.0337,0.22
12.812,1473.0,6400.0,0.0673,0.16
12.442,3217.0,5600.0,0.007407199731196467,-0.23
12.117,1305.0,5180.0,0.03144,0.12
23.203,1334.0,6720.0,0.0815,-0.07
15.468,1607.0,6120.0,0.0538,0.22
16.141,1289.0,5260.0,0.0323,0.12
10.424,1124.0,5900.0,0.0628,0.15
10.088,1158.0,4900.0,0.0261,-0.04
10.12,301.0,5629.0,0.828,-0.078
20.512,2270.0,6250.0,0.033,0.23
14.572,3562.0,6373.0,0.010202470720788923,-0.16
15.39,1710.0,6250.0,0.04421,0.432
13.641,1393.0,5771.0,0.04145,0.191
1.31,1840.0,5752.0,0.0204,0.04
15.805,2919.0,6250.0,0.012889155670772152,-0.1
17.598,1700.0,6572.0,0.06007,0.0
10.682,896.0,4803.0,0.05025,0.0
2.501,632.0,5070.0,0.1163,-0.042
11.209,992.0,5300.0,0.0871,0.28
1.367,512.0,2850.0,0.03984,-0.028
8.35,2191.0,5835.0,0.021806142508474652,0.06
12.599,819.0,5321.0,0.0813,0.071
4.002,1645.0,5857.0,0.0456,0.17
11.321,696.0,3660.0,0.027,0.1
1.93,1280.0,5558.0,0.038,-0.13
13.922,1090.0,5295.0,0.0507,0.33
2.888,1747.0,5881.0,0.025810436211790928,-0.07
12.442,2105.0,4800.0,0.011455188284264098,0.0
6.91,1153.0,6392.0,0.12199020798504569,0.41
4.14,1088.0,4985.0,0.0412,0.17
2.59,1421.0,5881.0,0.039045314045849495,-0.07
12.53,342.0,6096.0,0.768,0.08
13.585,1131.0,5523.0,0.04057,0.05
19.089,1513.0,6457.0,0.05387,-0.113
10.593,1247.0,5137.0,0.03211,0.377
19.044,1893.0,6206.0,0.04317,-0.116
17.15,2396.0,7800.0,0.047,0.0
14.617,1558.0,6110.0,0.0681,0.06
15.513,3208.0,7930.0,0.03632,0.041
14.24,1363.0,5000.0,0.0272,0.03
13.115,2326.0,6087.0,0.01773518577777205,0.21
10.122,1053.0,5495.0,0.05367,-0.06
10.223,1023.0,5304.0,0.0542,0.19
11.153,1301.0,6101.0,0.0854,0.181
10.077,1413.0,5587.0,0.0301,0.194
2.65,717.0,4031.0,0.0269,-0.01
12.733,1059.0,4987.0,0.0382,0.12
12.778,1398.0,5734.0,0.061,0.14
14.258,1435.0,6509.0,0.06969,0.186
5.34,675.0,5665.0,0.16,0.1
8.41,2259.0,5618.0,0.01267212225982113,0.0
10.368,1521.0,5607.0,0.0543,0.19
15.009,1959.0,5940.0,0.02851,0.14
17.15,2012.0,6010.0,0.0347,0.26
16.41,1848.0,6300.0,0.03199,0.21
10.536,2830.0,5600.0,0.011277088131556794,0.12
